Entry Date,Exit Date,Signal,Reason,Entry Price,Exit Price,Shares,Capital Used,PnL $,PnL %,Balance,Max upside,Max downside
2024-01-03,2024-01-18,buy,time_exit,183.06,187.07,546,99952.74,1988.35,1.99,101988.35,0.04738303132801337,0.020450075705908854
2024-01-22,2024-01-31,sell,target_hit,190.71,183.27,534,101839.73,3772.14,3.7,105760.5,-0.02407515031322393,-0.049054510905206045
2024-03-05,2024-03-19,buy,time_exit,169.9,174.85,622,105680.67,2863.4,2.71,108623.89,0.04728607026172083,0.020911382990017855
2024-04-15,2024-04-17,sell,target_hit,174.13,167.33,623,108484.85,4018.28,3.7,112642.17,-0.015377635342832919,-0.04029659184745433
2024-04-22,2024-04-29,buy,target_hit,164.69,171.11,683,112483.89,4157.4,3.7,116799.58,0.044932211629037475,0.019105970354071838
2024-05-06,2024-05-16,sell,stop_loss,181.07,190.32,645,116792.78,-6195.86,-5.3,110603.72,-0.04997904710976519,-0.07416427434272968
2024-06-12,2024-06-12,sell,stop_loss,206.2,216.72,536,110522.3,-5863.21,-5.31,104740.51,-0.051896428122904965,-0.07698599831401641
2024-06-14,2024-07-01,sell,time_exit,212.64,215.96,492,104619.71,-1840.27,-1.76,102900.24,-0.056655505844834045,-0.0826764734588921
2024-07-03,2024-07-10,sell,stop_loss,218.76,229.92,470,102815.76,-5454.38,-5.3,97445.87,-0.037088358446167036,-0.06376868098970123
2024-07-12,2024-07-24,sell,target_hit,227.63,218.74,428,97424.16,3608.59,3.7,101054.46,-0.01285820586952594,-0.041429796115841674
2024-08-01,2024-08-05,sell,target_hit,223.1,214.39,452,100842.21,3735.2,3.7,104789.65,-0.01702510878069395,-0.04379267684378393
2024-08-12,2024-08-16,sell,stop_loss,215.1,226.08,487,104752.65,-5557.13,-5.3,99232.53,-0.021616970582759763,-0.048132726309340346
2024-08-20,2024-09-04,sell,time_exit,224.75,220.3,441,99116.6,1767.61,1.78,101000.14,-0.023953516495852242,-0.051855088559762993
2024-09-20,2024-10-04,sell,time_exit,228.94,226.23,441,100960.46,990.42,0.98,101990.56,-0.04143641492654826,-0.06784039857937721
2024-10-10,2024-10-24,sell,time_exit,226.76,229.99,449,101813.06,-1657.02,-1.63,100333.53,-0.02359917387348203,-0.05067076083156999
2024-10-29,2024-11-01,sell,target_hit,232.05,222.99,432,100246.13,3713.12,3.7,104046.65,-0.014400503118807825,-0.042348894602291236
2024-11-08,2024-11-22,sell,time_exit,226.4,229.55,459,103916.08,-1653.42,-1.59,102393.22,-0.017632782863221824,-0.04480735879624456
2024-11-26,2024-12-09,sell,stop_loss,232.54,244.41,440,102315.72,-5427.85,-5.3,96965.37,-0.027450826101526722,-0.054941456094665476
2024-12-11,2024-12-26,sell,time_exit,247.12,258.66,392,96869.45,-4717.08,-4.87,92248.3,-0.037753771441662365,-0.06585872922891287
2024-12-30,2025-01-02,sell,target_hit,251.37,241.56,366,92001.93,3407.75,3.7,95656.05,-0.02601586100617252,-0.05515355830750106
2025-01-16,2025-01-21,sell,target_hit,236.54,227.31,404,95562.99,3539.65,3.7,99195.7,-0.01888289726806997,-0.045867953982414465
2025-01-28,2025-01-31,sell,stop_loss,230.06,241.81,431,99157.66,-5260.31,-5.3,93935.39,-0.03256818970958861,-0.05837167435882728
2025-02-05,2025-02-13,sell,stop_loss,227.75,239.38,412,93833.86,-4977.89,-5.3,88957.5,-0.02025740230035796,-0.047595457207610006
2025-02-18,2025-02-28,sell,target_hit,243.59,234.08,365,88909.04,3293.19,3.7,92250.69,-0.05529082437551814,-0.08249782998582307
2025-03-10,2025-03-10,sell,target_hit,235.0,225.82,392,92118.55,3412.07,3.7,95662.76,-0.019461662499673262,-0.04741278184883621
2025-03-12,2025-03-13,buy,stop_loss,220.07,208.86,434,95511.05,-5057.31,-5.3,90605.45,0.052782147190095816,0.022997553067604187
2025-03-25,2025-04-03,sell,target_hit,220.26,211.66,411,90527.02,3353.12,3.7,93958.57,-0.020843347073846583,-0.047722903095048765
2025-04-07,2025-04-07,buy,target_hit,177.14,184.05,530,93886.8,3470.06,3.7,97428.63,0.1581070090086349,0.1257535582939914
2025-04-09,2025-04-09,buy,target_hit,171.9,178.59,566,97293.44,3595.97,3.7,101024.59,0.18621666668586634,0.15525889020559208
2025-04-14,2025-04-14,sell,target_hit,210.95,202.72,478,100835.02,3734.93,3.7,104759.52,-0.013932661168971955,-0.0407431564819699
2025-04-16,2025-04-21,sell,target_hit,197.9,190.18,529,104690.22,3877.73,3.7,108637.25,-0.015087265415569862,-0.04274624420771486
2025-04-24,2025-05-07,sell,target_hit,204.42,196.44,531,108545.45,4020.52,3.7,112657.77,-0.016984780794058386,-0.0447228182646004
2025-05-09,2025-05-12,buy,target_hit,198.94,206.69,566,112598.98,4161.66,3.7,116819.43,0.04671587849220413,0.01773521159885825
2025-05-14,2025-05-21,sell,target_hit,212.22,203.93,550,116719.66,4323.3,3.7,121142.73,-0.02662903505515752,-0.053948811071347184
2025-05-23,2025-05-28,buy,target_hit,193.86,201.42,624,120970.93,4471.09,3.7,125613.81,0.04706763524916664,0.01795218958242099
